질문,답변
도배지 무늬의 패턴을 연속적으로 이어지게 하는 방법이 있을까요?,"도배지 무늬의 패턴이 이어지지 않는 하자는 이음부 하자입니다. 이음부 하자는 주로 도배지 끝 부분에서 발생합니다.1. 부주의한 시공 원인 : 시공자의 부주의에 의해 도배지 무늬 패턴에 맞게 시공하지 않아 발생합니다.책임소재 : 시공자 해결 방법 : 시공사에 연락하여 재시공을 요청할 수 있습니다. 2. 공간 내 높은 습도 원인 : 높은 습도로 인해 도배 풀의 접착력이 떨어지면 이음부 불량이 발생할 수 있습니다. 책임소재 :  건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다."
도배지에 얼룩이 있어,"도배지의 오염(얼룩)은 국소적으로 점, 선, 면의 형태를 이루고 있습니다. 얼룩 하자가 발생하는 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 공간 내 높은 습도 원인 : 높은 습도 환경에서 도배지의 표면이 젖으면 다양한 물질이 흡수되기 쉽습니다. 이러한 물질은 표면에 얼룩 형태로 나타날 수 있습니다. 책임소재 :  건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 2. 먼지 및 연기로 인한 오염 원인 : 도배지 표면에 먼지나 연기(담배, 조리과정에서 발생하는 연기 등)가 축적되면 얼룩이 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 환경 관리의 책임이 있습니다. 해결 방법 : 필요한 경우 얼룩 제거제나 청소 용품을 사용하여 얼룩을 처리해야 합니다. 얼룩이 사라지지 않으면 부분 및 전체 도배 작업하는 것을 고려해야 합니다. 3. 화학물질에 의한 오염 원인 : 도배지가 화학물질에 노출되면 오염이 발생합니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 화학물질의 종류를 파악한 후 알맞은 방법으로 오염을 제거해야 하며 만약 오염이 제거되지 않는다면 벽지를 교체해야 합니다."
도배지에 얼룩이 있는 경우 어떻게 처리해야 하나요?,"도배지의 오염(얼룩)은 국소적으로 점, 선, 면의 형태를 이루고 있습니다. 얼룩 하자가 발생하는 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 공간 내 높은 습도 원인 : 높은 습도 환경에서 도배지의 표면이 젖으면 다양한 물질이 흡수되기 쉽습니다. 이러한 물질은 표면에 얼룩 형태로 나타날 수 있습니다. 책임소재 :  건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 2. 먼지 및 연기로 인한 오염 원인 : 도배지 표면에 먼지나 연기(담배, 조리과정에서 발생하는 연기 등)가 축적되면 얼룩이 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 환경 관리의 책임이 있습니다. 해결 방법 : 필요한 경우 얼룩 제거제나 청소 용품을 사용하여 얼룩을 처리해야 합니다. 얼룩이 사라지지 않으면 부분 및 전체 도배 작업하는 것을 고려해야 합니다. 3. 화학물질에 의한 오염 원인 : 도배지가 화학물질에 노출되면 오염이 발생합니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 화학물질의 종류를 파악한 후 알맞은 방법으로 오염을 제거해야 하며 만약 오염이 제거되지 않는다면 벽지를 교체해야 합니다."
높은 습도로 인해 도배지에 녹이 묻어나올 수 있어?,높은 습도로 인해 도배지 안쪽의 금속이 녹이 슬어 도배지에 베어나올 수 있습니다.
높은 습도로 인해 도배지에 녹이 묻어나오는 경우가 있는가요?,높은 습도로 인해 도배지 안쪽의 금속이 녹이 슬어 도배지에 베어나올 수 있습니다.
화학 물질에 의해 도배지에 오염이 발생할 수 있어?,도배지가 화학물질에 노출되면 오염이 발생할 수 있습니다.
화학 물질로 인해 도배지가 오염될 수 있는 위험이 있나요?,도배지가 화학물질에 노출되면 오염이 발생할 수 있습니다.
공간 내 높은습도로 인해 도배지에 얼룩이 발생할 수 있어?,높은 습도 환경에서 도배지의 표면이 젖으면 다양한 물질이 흡수되기 쉽습니다. 이러한 물질은 표면에 얼룩 형태로 나타날 수 있습니다.
습도로 인해 도배지에 생기는 얼룩을 제거하는 데에 가장 효과적인 방법은 무엇인가요?,높은 습도 환경에서 도배지의 표면이 젖으면 다양한 물질이 흡수되기 쉽습니다. 이러한 물질은 표면에 얼룩 형태로 나타날 수 있습니다.
부적절한 접착제를 사용하면 도배지꼬임이 발생할 수 있어?,부적절한 접착제를 사용할 경우 도배지 꼬임이 발생할 수 있습니다.
접착제를 잘못 사용하면 도배지꼬임이 발생할 수 있는 이유가 무엇인가요?,부적절한 접착제를 사용할 경우 도배지 꼬임이 발생할 수 있습니다.
벽지에 반점이 생기는 원인이 뭐야?,대한건축학회와 내화건축자재협회에서 공동으로 진행한 연구결과에 따르면 벽지에 반점이 생기는 이유는 가소제 변경으로 추정하고 있습니다.
벽지에 반점이 생기는 원인에는 무엇이 있을까요?,대한건축학회와 내화건축자재협회에서 공동으로 진행한 연구결과에 따르면 벽지에 반점이 생기는 이유는 가소제 변경으로 추정하고 있습니다.
피스 하자가 뭐야?,피스 하자는 벽지 안쪽의 못 등의 작은 피스로 인해 발생하는 하자로 심할 경우 도배지가 터질 수 있는 위험이 있습니다.
피스 하자가 주로 어디에 발생하나요?,피스 하자는 벽지 안쪽의 못 등의 작은 피스로 인해 발생하는 하자로 심할 경우 도배지가 터질 수 있는 위험이 있습니다.
내외부 온도차가 클 경우 도배지 끝부분이 들뜰 수 있어?,내외부의 온도차가 심할 경우 결로가 생기면서 들뜸 현상이 발생할 수 있습니다.
내외부 온도차가 클 경우 도배지의 끝부분이 울퉁불퉁해지는 현상이 일어날 수 있나요?,내외부의 온도차가 심할 경우 결로가 생기면서 들뜸 현상이 발생할 수 있습니다.
구조적 결함으로 인해 석고수정이 발생할 수 있어?,건물 자체의 구조적 결함에 의해 석고수정이 발생할 수 있습니다.
구조적 결함으로 인해 석고수정이 발생할 가능성이 있는가요?,건물 자체의 구조적 결함에 의해 석고수정이 발생할 수 있습니다.
도배지를 너무 작게 자르면 도배지와 몰딩면에 틈새가 생길 수 있어?,부착해야 할 면에 비해 도배지를 작게 절단하면 도배지 끝 부분에 장력이 크게 작용하여 몰딩과의 틈새가 발생할 수 있습니다.
도배지를 너무 작게 자르면 도배지와 몰딩면에 틈새가 생길 수도 있을까요?,부착해야 할 면에 비해 도배지를 작게 절단하면 도배지 끝 부분에 장력이 크게 작용하여 몰딩과의 틈새가 발생할 수 있습니다.
높은 습도로 인해 도배지 끝부분이 들뜰 수 있어?,습도가 높으면 도배지의 접착력이 감소하여 벽면에서 떨어질 수 있습니다.
"높은 습도로 인해 도배지의 끝부분이 들뜰 수 있는데, 이를 방지하기 위한 방법이 있을까요?",습도가 높으면 도배지의 접착력이 감소하여 벽면에서 떨어질 수 있습니다.
곰팡이 색깔은?,"도배지에 나타나는 곰팡이의 색갈은 검정색, 황갈색, 분홍색 등이 있습니다."
곰팡이가 어떤 색으로 보일까요?,"도배지에 나타나는 곰팡이의 색갈은 검정색, 황갈색, 분홍색 등이 있습니다."
도배지에 녹이 묻어나와,"해당 현상은 녹 오염으로 도배지에 붉은색의 녹이 베어나오는 현상입니다. 도배지에 녹오염이 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 공간 내 높은 습도 원인 : 높은 습기로 인해 도배지 안쪽의 금속의 녹이 도배지에 베어나올 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 2. 누수 원인 : 누수에 의해 도배지가 젖어 있는 상태가 지속되면 곰팡이가 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 보수작업을 통해 누수를 제거하고 곰팡이가 발생한 도배지의 부분 및 전체를 교체해야 합니다. 해당 작업은 개인이 하기 어려운 작업이니 전문가의 도움을 받는 것을 추천합니다."
도배지에 녹이 묻어나오면 어떻게 처리해야 하나요?,"해당 현상은 녹 오염으로 도배지에 붉은색의 녹이 베어나오는 현상입니다. 도배지에 녹오염이 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 공간 내 높은 습도 원인 : 높은 습기로 인해 도배지 안쪽의 금속의 녹이 도배지에 베어나올 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 2. 누수 원인 : 누수에 의해 도배지가 젖어 있는 상태가 지속되면 곰팡이가 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 보수작업을 통해 누수를 제거하고 곰팡이가 발생한 도배지의 부분 및 전체를 교체해야 합니다. 해당 작업은 개인이 하기 어려운 작업이니 전문가의 도움을 받는 것을 추천합니다."
훼손이 뭐야?,"훼손은 터짐 하자, 몰딩수정 등 물리적인 충격이나 힘에 의해 발생하는 하자입니다."
훼손은 무엇인가요?,"훼손은 터짐 하자, 몰딩수정 등 물리적인 충격이나 힘에 의해 발생하는 하자입니다."
내외부 온도의 큰 차이에 의해 곰팡이가 발생할 수 있어?,내외부 온도차가 클 경우 도배지에 결로가 발생해 곰팡이가 발생할 수 있습니다.
내외부 온도의 큰 차이로 인해 곰팡이가 발생할 가능성이 높은가요?,내외부 온도차가 클 경우 도배지에 결로가 발생해 곰팡이가 발생할 수 있습니다.
벽지 안쪽의 못 등의 작은 피스로 인해 발생하는 하자는 무슨 하자야?,벽지 안쪽의 못 등의 작은 피스로 인해 발생하는 하자는 피스 하자로 심할 경우 도배지가 터질 수 있으므로 주의해야 합니다.
벽지 안쪽의 못 등 작은 피스로 인해 발생하는 하자를 어떻게 해결해야 하죠?,벽지 안쪽의 못 등의 작은 피스로 인해 발생하는 하자는 피스 하자로 심할 경우 도배지가 터질 수 있으므로 주의해야 합니다.
석고수정이 뭐야?,"벽을 이루고 있는 석고에 훼손이 있는 경우를 석고수정이라고 합니다. 석고수정이 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 건축 물리적 변화 원인 : 건물이 오래되거나 지진 등의 물리적인 변화가 발생하면 벽을 이루고 있는 석고의 수정이 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 석고수정이 있는 부분을 수정하고 전문가에게 정밀 진단을 받아야 합니다. 2. 공간 내 높은 습도 원인 : 석고는 습기를 흡수하고 물에 녹는 성질이 있기에 습도가 높으면 변형될 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 3. 구조적 결함 원인 : 건물 자체의 구조적 결함에 의해 석고수정이 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 건물의 구조적 결함을 해결하고 전문가의 도움을 받아 석고수정을 해결하는 것을 추천합니다."
석고수정은 어떤 용도로 사용되나요?,"벽을 이루고 있는 석고에 훼손이 있는 경우를 석고수정이라고 합니다. 석고수정이 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 건축 물리적 변화 원인 : 건물이 오래되거나 지진 등의 물리적인 변화가 발생하면 벽을 이루고 있는 석고의 수정이 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 석고수정이 있는 부분을 수정하고 전문가에게 정밀 진단을 받아야 합니다. 2. 공간 내 높은 습도 원인 : 석고는 습기를 흡수하고 물에 녹는 성질이 있기에 습도가 높으면 변형될 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 3. 구조적 결함 원인 : 건물 자체의 구조적 결함에 의해 석고수정이 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 건물의 구조적 결함을 해결하고 전문가의 도움을 받아 석고수정을 해결하는 것을 추천합니다."
도배지에 곰팡이가 폈어,"도배지에 곰팡이가 피게 되면 도배지에 얼룩이 발생하여 미관상 좋지 않으며, 호흡기 질환을 유발할 수 있으니 반드시 제거해야 합니다. 도배지에 곰팡이가 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 공간 내 높은 습도 원인 : 높은 습기는 곰팡이가 서식하기 좋은 환경입니다. 책임소재 : 건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 2. 내외부 온도의 큰 차이 원인 : 실내와 실외의 온도차가 클 경우 도배지에 결로가 발생해 곰팡이가 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 온도 관리에 책임이 있습니다. 해결 방법 : 냉열기를 가동하여 내외부의 온도차를 줄이고, 제습기를 가동하여 습도를 낮춰야 합니다. 3. 누수 원인 : 누수에 의해 도배지가 젖어 있는 상태가 지속되면 곰팡이가 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 보수작업을 통해 누수를 제거하고 곰팡이가 발생한 도배지의 부분 및 전체를 교체해야 합니다. 해당 작업은 개인이 하기 어려운 작업이니 전문가의 도움을 받는 것을 추천합니다."
도배지에 곰팡이가 생겼을 때 어떻게 제거해야 하나요?,"도배지에 곰팡이가 피게 되면 도배지에 얼룩이 발생하여 미관상 좋지 않으며, 호흡기 질환을 유발할 수 있으니 반드시 제거해야 합니다. 도배지에 곰팡이가 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 공간 내 높은 습도 원인 : 높은 습기는 곰팡이가 서식하기 좋은 환경입니다. 책임소재 : 건물의 소유자나 거주자가 습기 관리의 책임이 있습니다. 해결 방법 : 제습기 가동, 환기를 통해 실내 적정 습도를 유지하고 전문가의 도움을 받아 보수작업하는 것을 추천합니다. 2. 내외부 온도의 큰 차이 원인 : 실내와 실외의 온도차가 클 경우 도배지에 결로가 발생해 곰팡이가 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 온도 관리에 책임이 있습니다. 해결 방법 : 냉열기를 가동하여 내외부의 온도차를 줄이고, 제습기를 가동하여 습도를 낮춰야 합니다. 3. 누수 원인 : 누수에 의해 도배지가 젖어 있는 상태가 지속되면 곰팡이가 발생할 수 있습니다. 책임소재 : 건물의 소유자나 거주자가 책임이 있습니다. 해결 방법 : 보수작업을 통해 누수를 제거하고 곰팡이가 발생한 도배지의 부분 및 전체를 교체해야 합니다. 해당 작업은 개인이 하기 어려운 작업이니 전문가의 도움을 받는 것을 추천합니다."
벽에 뚫린 구멍이 이상해,"벽이나 천장에 잘못 뚫린 구멍은 ""타공하자""라고 합니다. 타공하자가 발생하는 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 부실 시공 원인 : 적절하지 않은 도구로 작업하거나 타공 부위의 크기를 정확히 측정하지 않고 작업하면 타공불량이 발생할 수 있습니다. 책임소재 : 시공자 해결 방법 : 타공 부위의 크기를 정확히 측정하고 올바른 도구로 재작업해야 합니다."
벽에 뚫린 구멍의 이유가 무엇일까요?,"벽이나 천장에 잘못 뚫린 구멍은 ""타공하자""라고 합니다. 타공하자가 발생하는 발생하는 원인 - 책임소재 - 해결방법에 대해 설명드리겠습니다. 1. 부실 시공 원인 : 적절하지 않은 도구로 작업하거나 타공 부위의 크기를 정확히 측정하지 않고 작업하면 타공불량이 발생할 수 있습니다. 책임소재 : 시공자 해결 방법 : 타공 부위의 크기를 정확히 측정하고 올바른 도구로 재작업해야 합니다."
높은 습도로 인해 도배지 패턴이 이어지지 않을 수 있어?,높은 습도로 인해 도배 풀의 접착력이 떨어지면 이음부 불량이 발생할 수 있습니다.
높은 습도로 인해 도배할 때 패턴이 이어지지 않을 가능성이 있나요?,높은 습도로 인해 도배 풀의 접착력이 떨어지면 이음부 불량이 발생할 수 있습니다.
건조시간이 부족하면 도배지 꼬임이 발생할 수 있어?,도배 후 완전 건조되기 전까지 꼬임이 발생할 수 있습니다.
도배지 꼬임을 방지하기 위해 어느 정도의 건조시간이 필요한가요?,도배 후 완전 건조되기 전까지 꼬임이 발생할 수 있습니다.
도배지에 반점이 생겼어,"도배지에 생긴 반점은 주로 붉은색과 푸른색의 형태로 나타납니다. 이 같은 현상은 석고보드에 함유된 안료나 염료 등의 구성 물질이 도배지에 전이되어 나타난 현상으로 추정하고 있습니다. 해결 방법으로  1. 반점 위에 바인더나 수성프라이머를 도포하여 코팅하고 다시 도배 장점: 비교적 간단한 해결 방법으로 바로 수정이 가능합니다. 단점: 재발의 위험이 있을 수 있으며, 코팅에서 발생하는 냄새가 날 수도 있습니다. 2. 반점이 생긴 석고보드를 부분적으로 잘라내고, 석고보드를 보강 후 재작업 장점: 수정이 발생한 위치에서의 재발 위험이 낮고 전체 석고보드 작업하는 것에 비해 시간과 비용이 적게 듭니다. 단점: 수정하지 않은 부분에서 다시 반점이 생길 우려가 있을 수 있습니다. 3. 벽면 전체 석고보드를 잘라내고, 석고보드를 교체 하여 재작업 장점: 가장 근본적인 해결 방법으로 반점이 재발할 가능성이 낮아집니다. 단점: 시간과 비용이 많이 소요되며, 교체 작업 중에 먼지가 많이 발생할 수 있습니다.  이 있습니다. 위 방법 중 가장 적절한 방법을 사용하는 것을 추천합니다."
도배지에 반점이 생기는 이유가 무엇인가요?,"도배지에 생긴 반점은 주로 붉은색과 푸른색의 형태로 나타납니다. 이 같은 현상은 석고보드에 함유된 안료나 염료 등의 구성 물질이 도배지에 전이되어 나타난 현상으로 추정하고 있습니다. 해결 방법으로  1. 반점 위에 바인더나 수성프라이머를 도포하여 코팅하고 다시 도배 장점: 비교적 간단한 해결 방법으로 바로 수정이 가능합니다. 단점: 재발의 위험이 있을 수 있으며, 코팅에서 발생하는 냄새가 날 수도 있습니다. 2. 반점이 생긴 석고보드를 부분적으로 잘라내고, 석고보드를 보강 후 재작업 장점: 수정이 발생한 위치에서의 재발 위험이 낮고 전체 석고보드 작업하는 것에 비해 시간과 비용이 적게 듭니다. 단점: 수정하지 않은 부분에서 다시 반점이 생길 우려가 있을 수 있습니다. 3. 벽면 전체 석고보드를 잘라내고, 석고보드를 교체 하여 재작업 장점: 가장 근본적인 해결 방법으로 반점이 재발할 가능성이 낮아집니다. 단점: 시간과 비용이 많이 소요되며, 교체 작업 중에 먼지가 많이 발생할 수 있습니다.  이 있습니다. 위 방법 중 가장 적절한 방법을 사용하는 것을 추천합니다."
도배지는 얼마나 필요해,"일반적으로 도배지는 도배평수에 5를 나눈 값만큼 필요합니다. 예를 들어 32평 아파트의 경우 도배평수는 80평(32*2.5)이며 5로 나눈 값인 16롤만큼 필요합니다. 단, 작업자의 숙련도, 작업환경, 집 구조에 따라 달라질 있으니 자세한 사항은 견적상담을 받는 것을 추천드립니다."
도배를 하는 데 얼마나 많은 도배지가 필요한가요?,"일반적으로 도배지는 도배평수에 5를 나눈 값만큼 필요합니다. 예를 들어 32평 아파트의 경우 도배평수는 80평(32*2.5)이며 5로 나눈 값인 16롤만큼 필요합니다. 단, 작업자의 숙련도, 작업환경, 집 구조에 따라 달라질 있으니 자세한 사항은 견적상담을 받는 것을 추천드립니다."
수성 벽체용 탄성 방수 도료의 장점이 뭐야?,수성 벽체용 탄성 방수 도료는 치밀한 표면구성 및 탄성있는 도막을 형성하여 방수성능이 우수할뿐만 아니라 크랙의 방지나 물세척이 가능하며 콘크리트 시멘트 구조물의 내외부 면에 다양한 용도로 사용된다.
수성 방수 도료를 사용하는 것이 왜 중요할까요?,수성 벽체용 탄성 방수 도료는 치밀한 표면구성 및 탄성있는 도막을 형성하여 방수성능이 우수할뿐만 아니라 크랙의 방지나 물세척이 가능하며 콘크리트 시멘트 구조물의 내외부 면에 다양한 용도로 사용된다.
창문 유리에 금이 간 경우 어떻게 수리하나요?,"창문에 금이 갔을 때는 작은 금은 수리 키트로 메우고, 큰 금은 전문가에게 수리를 맡기세요."
금이 간 창문 유리를 어떻게 수리해야 하나요?,"창문에 금이 갔을 때는 작은 금은 수리 키트로 메우고, 큰 금은 전문가에게 수리를 맡기세요."
도배할 수 없는 벽은 뭐가 있어?,"도배할 수 없는 벽은 실크벽지, 페인트가 칠해진 벽이 있습니다."
도배할 수 없는 벽 대신에 어떤 재료를 사용할 수 있을까요?,"도배할 수 없는 벽은 실크벽지, 페인트가 칠해진 벽이 있습니다."
왜 초배지만 남은 벽에는 페인트를 못 칠해?,초배지는 매우 얇아 페인트를 바로 칠하면 표면이 쭈글쭈글하게 울기에 초배지 위 페인팅은 부적할합니다.
초배만 남은 벽에 페인트를 칠할 수 없는 이유가 뭘까요?,초배지는 매우 얇아 페인트를 바로 칠하면 표면이 쭈글쭈글하게 울기에 초배지 위 페인팅은 부적할합니다.
누수공사 업체에서 장판 마감 작업도 해줘?,일반적으로 누수공사 업체에서는 누수공사만 진행하고 장판 마감 작업은 하지 않습니다.
누수공사 업체에서 장판 마감 작업을 제공하는 것이 일반적인가요?,일반적으로 누수공사 업체에서는 누수공사만 진행하고 장판 마감 작업은 하지 않습니다.
수성 발수제의 장점이 뭐야?,"수성 발수제는 발수효과 및 발수 지속력이 우수하여 외부의 빗물 등이 침투할 수 있는 건축자재의 표면에 도장 시 빗물 등의 유입을 막아 백화현상, 철근의 부식 등을 방지하는 장점이 있습니다."
수성 발수제를 사용하는 것이 장점이 있나요?,"수성 발수제는 발수효과 및 발수 지속력이 우수하여 외부의 빗물 등이 침투할 수 있는 건축자재의 표면에 도장 시 빗물 등의 유입을 막아 백화현상, 철근의 부식 등을 방지하는 장점이 있습니다."
기존 바닥재 위에 새 바닥재를 덧방해도 되나요?,기존 바닥재를 철거 후 시공해야 합니다. 기존 바닥재 위해 덧방할 경우 바닥재 간에 습기로 인한 곰팡이가 생길 수 있습니다.
기존 바닥재 위에 새 바닥재를 덧방하는 것은 괜찮을까요?,기존 바닥재를 철거 후 시공해야 합니다. 기존 바닥재 위해 덧방할 경우 바닥재 간에 습기로 인한 곰팡이가 생길 수 있습니다.
줄퍼티 마감이 뭐야?,"줄퍼티 마감은 석고보드의 이음메 부분을 메꾼 후 1차, 2차로 퍼티를 해 마감하는 것을 의미합니다. 줄퍼티 마감은 올퍼티 마감보다 단가가 저렴하다는 장점이 있지만 이음메 부분의 배부름 현상이 있으며, 줄퍼티를 한 곳과 하지 않은 곳의 질감 차이가 있다는 단점이 있어 가게, 식당, 공장에 주로 시공합니다."
줄퍼티 마감은 무엇을 의미하나요?,"줄퍼티 마감은 석고보드의 이음메 부분을 메꾼 후 1차, 2차로 퍼티를 해 마감하는 것을 의미합니다. 줄퍼티 마감은 올퍼티 마감보다 단가가 저렴하다는 장점이 있지만 이음메 부분의 배부름 현상이 있으며, 줄퍼티를 한 곳과 하지 않은 곳의 질감 차이가 있다는 단점이 있어 가게, 식당, 공장에 주로 시공합니다."
내단열 시공의 장점이 뭐야?,"내단열 시공은 실내에서 작업하기에 날씨영향을 덜받으며 공사비, 재료비, 인건비가 적게 들고 외부벽체와 직접 닿지 않기 때문에 열교 현상을 줄일 수 있다는 장점이 있습니다."
내단열 시공을 하는 것의 장점은 무엇인가요?,"내단열 시공은 실내에서 작업하기에 날씨영향을 덜받으며 공사비, 재료비, 인건비가 적게 들고 외부벽체와 직접 닿지 않기 때문에 열교 현상을 줄일 수 있다는 장점이 있습니다."
배관공사할 때 주의해야 할 점이 뭐야?,"배관공사 할 때 주의할 점은 기울기, 통기구 설치, 소제구 설치입니다."
배관공사를 할 때 어떤 점에 주의해야 할까요?,"배관공사 할 때 주의할 점은 기울기, 통기구 설치, 소제구 설치입니다."
스터드 공법이 뭐야?,"스터드 공법이란 경량철골공법이라고 부르기도 하는 내부 인테리어 공사의 한 종류입니다. 주로 벽체나 천장을 마감하는 공사로 천장과 바닥에 러너라고 불리는 철자재를 설치하고, 그 사이에 스터드라고 하는 철자재를 끼워넣어 고정한 뒤 그 표면에 석고보드, 합판, 판넬 같은 마감재를 붙여 완성하는 공법입니다."
스터드 공법은 무엇이며 어떻게 사용하는 건가요?,"스터드 공법이란 경량철골공법이라고 부르기도 하는 내부 인테리어 공사의 한 종류입니다. 주로 벽체나 천장을 마감하는 공사로 천장과 바닥에 러너라고 불리는 철자재를 설치하고, 그 사이에 스터드라고 하는 철자재를 끼워넣어 고정한 뒤 그 표면에 석고보드, 합판, 판넬 같은 마감재를 붙여 완성하는 공법입니다."
상도작업은 어떻게 작업해?,상도작업은 방청도료가 완전히 건조된 후에 원하는 컬러의 에나멜이나 조합페인트 등으로 마무리합니다.
상도작업을 어떻게 수행해야 하나요?,상도작업은 방청도료가 완전히 건조된 후에 원하는 컬러의 에나멜이나 조합페인트 등으로 마무리합니다.
페인팅이 불가능한 벽은 뭐가 있어?,초배지만 남은 벽에는 페인팅이 불가능 합니다.
페인팅이 불가능한 벽의 예시는 어떤 것들이 있을까요?,초배지만 남은 벽에는 페인팅이 불가능 합니다.
방수공사 공법의 종류는 뭐가 있어?,"방수공사 공법에는 액체방수공사, 도막방수공사, 규산질계 침투성 도포 방수공사, 시멘트 모르타르계 방수공사, 시트 방수공사, 발수 방수공사가 있습니다."
"방수공사를 하는 데 사용되는 다양한 공법이 있는데, 어떤 종류의 방수공법이 있나요?","방수공사 공법에는 액체방수공사, 도막방수공사, 규산질계 침투성 도포 방수공사, 시멘트 모르타르계 방수공사, 시트 방수공사, 발수 방수공사가 있습니다."
건축물의 시공방식은 어떻게 구분해?,건축물 시공방식은 습식방식과 건식방식이 있습니다.
건축물의 시공방식을 구분하는 데 어떤 기준을 활용해야 하나요?,건축물 시공방식은 습식방식과 건식방식이 있습니다.
속건형 유성 발수제의 장점이 뭐야?,"속건형 유성 발수제는 다공성이 있는 각종 건축자재의 표면에 도장되어 빗물 등의 침투를 막아줌으로써 건축자재의 색상을 보호, 유지시켜주며 건물의 균열이나 백화현상, 철근의 부식을 방지하여 건축물의 수명을 연장시켜주는 장점이 있습니다."
속건형 유성 발수제를 사용하는 것이 어떤 장점이 있는지 알려주세요.,"속건형 유성 발수제는 다공성이 있는 각종 건축자재의 표면에 도장되어 빗물 등의 침투를 막아줌으로써 건축자재의 색상을 보호, 유지시켜주며 건물의 균열이나 백화현상, 철근의 부식을 방지하여 건축물의 수명을 연장시켜주는 장점이 있습니다."
왜 페인트가 발라진 벽에는 도배할 수 없어?,기존에 페인트가 칠해진 벽은 벽지가 잘 붙지 않고 떨어져 하자가 발생할 확률이 높기 때문에 도배할 수 없습니다.
페인트가 발라진 벽에 도배를 하는 것과 관련해 특별히 주의해야 할 점이 있을까요?,기존에 페인트가 칠해진 벽은 벽지가 잘 붙지 않고 떨어져 하자가 발생할 확률이 높기 때문에 도배할 수 없습니다.
도배풀을 제거하려면 어떻게 해야 해?,"도배 후 바닥이나 몰딩, 벽지에 붙은 도배풀을 제거하려면 걸레로 살살 닦아내야 하며 지워지지 않을 시 도배풀 제거제를 사용해야 합니다."
